0.135,5,-1,-5,-3,2,-6,1,-4,-8,0
0.133,0.091,-4,0,-9,-6,-6,-5,3,-6,0
0.228,0.087,-6,-1,-2,-3,-5,-1,-4,-2,0
0.324,0.053,-2,-2,-1,1,-2,-1,-2,-1,0
0.231,0.062,-3,-3,-5,0,-5,0,-4,-4,0
0.271,0.061,-2,0,3,-3,1,0,1,0,0
0.296,0.068,-4,-7,-3,-1,-5,-5,-7,-5,0
0.211,0.037,-1,-2,-3,-2,-4,-3,3,5,0
0.469,0.048,-3,-2,-5,6,-3,0,-4,-3,0
0.260,0.024,-2,-1,0,1,-6,-7,-1,-9,0
0.174,0.075,-4,0,-1,-1,-5,-3,-1,-2,0
0.159,0.080,-2,-3,7,0,-5,-4,1,-5,0
0.378,0.053,-2,-1,-2,-1,-2,2,-5,2,0
0.472,0.065,-3,-3,-2,1,-3,-1,-4,-3,0
0.341,0.054,0,-1,1,2,-1,-1,-2,1,0
0.217,0.045,-5,0,-6,-5,-2,-1,-3,-2,0
0.243,0.089,-4,-2,0,-2,0,0,-1,-1,0
0.304,0.043,-6,-2,-5,-7,-6,-3,2,-4,0
0.331,0.038,2,1,0,0,1,-1,-2,0,0
0.217,0.045,-5,0,-4,0,-4,9,-7,3,0
0.221,0.076,-2,-2,1,-2,1,-4,-3,1,0
0.152,0.055,-4,-8,-3,0,-6,-2,1,-4,0
0.247,0.045,-2,2,-1,1,-3,-1,-1,0,0
0.227,0.077,-4,-1,-4,-4,-1,0,-2,0,0
0.289,0.100,-1,0,-1,-2,-6,-8,1,-8,0
0.198,0.043,-2,-3,-6,-1,-4,1,-4,-2,0
0.191,0.106,2,-2,-3,-3,2,-5,3,-5,0
0.395,0.065,-4,1,2,-1,-1,-4,3,-1,0
0.225,0.070,-1,-3,-3,0,-3,-5,4,4,0
